time,C,E,N,S,W,PT_total_check
2024-07-15 22:00:00,2305.546897141341,536.9611334681787,1687.9616367203628,491.0280238015273,1303.5023088685905,6325.0
2024-07-15 23:00:00,2107.798408335147,490.90557379916885,1543.1838994996833,448.9121814438469,1191.6999369221542,5782.5
2024-07-16 00:00:00,1932.0665254716148,449.9776745983769,1414.5251951419145,411.4853655901368,1092.3452391979567,5300.4
2024-07-16 01:00:00,1814.729680224216,422.6499609440834,1328.6192898675613,386.49533857642746,1026.005730387712,4978.5
2024-07-16 02:00:00,1746.2740743296476,406.70667226972387,1278.50084000573,371.91588199620185,987.3025313986967,4790.7
2024-07-16 03:00:00,1705.3756771977492,397.18144868472314,1248.5578683630383,363.20547183485303,964.1795339196365,4678.5
2024-07-16 04:00:00,1693.7841528769436,394.4817863852309,1240.0713576835587,360.73674596024614,957.6259570940205,4646.7
2024-07-16 05:00:00,1712.374333391443,398.81143346932214,1253.6817993393277,364.6960233063138,968.1364104935933,4697.700000000001
2024-07-16 06:00:00,1777.2941598548223,413.9312402472957,1301.2115965725131,378.5224408618952,1004.8405624634742,4875.8
2024-07-16 07:00:00,1976.4277993660182,460.30940107159074,1447.0034451322497,420.9332881983022,1117.4260662318395,5422.099999999999
2024-07-16 08:00:00,2232.170361110582,519.8717617421479,1634.2404228908276,475.40052321793087,1262.016931038512,6123.7
2024-07-16 09:00:00,2287.4305839732897,532.7418499372113,1674.6981278911135,487.16966921133985,1293.259768987046,6275.300000000001
2024-07-16 10:00:00,2262.2427119428603,526.875602613472,1656.2573138045716,481.8052365718638,1279.0191350672326,6206.200000000001
2024-07-16 11:00:00,2285.936079265261,532.3937802696666,1673.6039551305516,486.8513743658716,1292.414810968649,6271.199999999999
2024-07-16 12:00:00,2253.7130997067957,524.8890586572419,1650.012522927219,479.98862696602106,1274.1966917427228,6182.8
2024-07-16 13:00:00,2207.78441843568,514.1922835083105,1616.3867258953192,470.2068829345598,1248.229689226131,6056.8
2024-07-16 14:00:00,2251.2344089715293,524.311772379363,1648.1977973731161,479.4607233198787,1272.795297956113,6176.0
2024-07-16 15:00:00,2257.358233141011,525.7380090658872,1652.6812369773695,480.76495585740685,1276.2575649583255,6192.799999999999
2024-07-16 16:00:00,2260.3107912227256,526.4256588968899,1654.8428953579917,481.3937822594293,1277.9268722629633,6200.899999999999
2024-07-16 17:00:00,2259.691118538909,526.2813373274203,1654.389213969466,481.26180634789375,1277.576523816311,6199.200000000001
2024-07-16 18:00:00,2333.5415219161164,543.4810726065749,1708.4573606255208,496.9902296873704,1319.3298151644178,6401.8
2024-07-16 19:00:00,2479.820726631187,577.5494525055125,1815.5528554580712,528.1443080986832,1402.032657306547,6803.1
2024-07-16 20:00:00,2485.251975448168,578.814388614394,1819.5292393927957,529.301038146848,1405.1033583977946,6818.000000000002
2024-07-16 21:00:00,2446.9051717202206,569.883430315445,1791.4543675852096,521.1340582094692,1383.422972169656,6712.799999999999
2024-07-16 22:00:00,2298.6575949506737,535.356617195839,1682.917767165578,489.5607621968081,1299.607258491102,6306.1
2024-07-16 23:00:00,2088.0053337873564,486.29577308022465,1528.6927822073646,444.6967155636219,1180.5093953614326,5728.2
2024-07-17 00:00:00,1928.5307460404256,449.15419270199095,1411.9365425132685,410.73232656549254,1090.3461921788225,5290.699999999999
2024-07-17 01:00:00,1818.739327001853,423.58380639359325,1331.5548753227272,387.34930035695186,1028.2726909248747,4989.5
2024-07-17 02:00:00,1746.5292336700427,406.766098798329,1278.6876499892403,371.97022501859885,987.4467925237889,4791.4
2024-07-17 03:00:00,1713.030457409602,398.96424454287836,1254.1621678683548,364.8357625067633,968.5073676724018,4699.5
2024-07-17 04:00:00,1700.6734550676113,396.0863026575707,1245.1152272383438,362.20400756496537,961.5210074715094,4665.6
2024-07-17 05:00:00,1719.9197596002691,400.568760815218,1259.2060374231398,366.30302411148244,972.4024180498905,4718.4
2024-07-17 06:00:00,1787.1360201272043,416.22340635063813,1308.41712450792,380.6185288686369,1010.404920145601,4902.800000000001
2024-07-17 07:00:00,1963.1230623311315,457.21073208003526,1437.2626388491994,418.09968774474396,1109.9038789948904,5385.6
2024-07-17 08:00:00,2224.5155808987292,518.0889658839927,1628.6361233855112,473.7702325460207,1257.6890972857466,6102.7
2024-07-17 09:00:00,2288.2689646631593,532.9371085311998,1675.3119321226482,487.34822485635857,1293.7337698266347,6277.600000000001
2024-07-17 10:00:00,2279.593547089726,530.9166065586238,1668.9603926832892,485.50056209486036,1288.8288915735006,6253.799999999999
2024-07-17 11:00:00,2297.41824958304,535.0679740568995,1682.0104043885265,489.29681037373695,1298.906561597797,6302.7
2024-07-17 12:00:00,2274.2352009414294,529.6686494579152,1665.0373830295678,484.3593586245232,1285.799407946565,6239.100000000001
2024-07-17 13:00:00,2231.076821080317,519.6170766195543,1633.4398086757824,475.16762455051514,1261.3986690738311,6120.7
2024-07-17 14:00:00,2269.059111464843,528.4631398776387,1661.2478090783534,483.2569715987553,1282.8729679804094,6224.9
2024-07-17 15:00:00,2263.372703307467,527.1387772401521,1657.0846151601183,482.04589852819345,1279.6580057640695,6209.300000000001
2024-07-17 16:00:00,2270.881678181951,528.8876150819614,1662.5821661034288,483.6451360444482,1283.9034045882106,6229.9
2024-07-17 17:00:00,2281.7441758159134,531.4174872997245,1670.5349339728782,485.95859614077796,1290.0448067707061,6259.700000000001
2024-07-17 18:00:00,2361.2809873504966,549.9415852163659,1728.766274547168,502.8980925508164,1335.0130603351529,6477.9
2024-07-17 19:00:00,2508.0340594120153,584.1203286684274,1836.208702206238,534.1530937180092,1417.9838159953104,6880.500000000001
2024-07-17 20:00:00,2507.9247054089888,584.094860156168,1836.1286407847335,534.1298038512676,1417.921989798842,6880.200000000001
2024-07-17 21:00:00,2483.392957396718,578.3814239059848,1818.1681952272188,528.9051104122411,1404.0523130578372,6812.9
2024-07-17 22:00:00,2337.405363356385,544.3809600397389,1711.2861975186804,497.8131383122393,1321.5143407729565,6412.4
2024-07-17 23:00:00,2124.638924801223,494.82772468711033,1555.5133584113798,452.49882092204933,1201.2211711782377,5828.7
2024-07-18 00:00:00,1961.3004956140237,456.7862568757126,1435.928281824124,417.71152329905107,1108.8734423870892,5380.6
2024-07-18 01:00:00,1845.7133144150482,429.8660394175688,1351.303359293843,393.0941341532069,1043.5231527203334,5063.5
2024-07-18 02:00:00,1771.3525923570508,412.5474510812038,1296.8615926707673,377.2570247689363,1001.4813391220421,4859.500000000001
2024-07-18 03:00:00,1732.6777266200236,403.5400872454767,1268.5465365986674,369.02017523133276,979.6154743044992,4753.4
2024-07-18 04:00:00,1714.1604487742088,399.2274191695584,1254.9894692239018,365.0764244630929,969.1462383692386,4702.6
2024-07-18 05:00:00,1736.8331787350296,404.50789071133244,1271.5888706158394,369.9051901675126,981.9648697702862,4764.8
2024-07-18 06:00:00,1812.2509894889492,422.07267466620453,1326.8045643134587,385.9674349302851,1024.6043366011022,4971.7
2024-07-18 07:00:00,1992.6121918139352,464.07874088597606,1458.852535514919,424.3801884760552,1126.5763433091147,5466.5
2024-07-18 08:00:00,2240.2990086688824,521.764921153427,1640.191655222664,477.1317366457212,1266.6126783093055,6146.0
2024-07-18 09:00:00,2277.7345290382764,530.4836418502147,1667.5993485177123,485.10463436025356,1287.7778462335434,6248.700000000001
2024-07-18 10:00:00,2258.5246758399603,526.0096731966537,1653.5352254734178,481.0133811026503,1276.9170443873181,6196.000000000001
2024-07-18 11:00:00,2290.055080045925,533.3530942314359,1676.619602007222,487.7286260131376,1294.7435977022799,6282.500000000001
2024-07-18 12:00:00,2236.7996805720354,520.9499287611275,1637.6296897345192,476.38646090999083,1264.634240022327,6136.4
2024-07-18 13:00:00,2209.5705338184453,514.6082692085467,1617.6943957798928,470.5872840913388,1249.2395171017763,6061.7
2024-07-18 14:00:00,2273.2145635798493,529.4309433434945,1664.2901430955255,484.14198653493514,1285.2223634461964,6236.300000000001
2024-07-18 15:00:00,2293.1898947993504,534.083191582871,1678.9146960903518,488.39626885972945,1296.515948667698,6291.1
