Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
Vilar Tabuaco,Hydro,Reservoir,Store,Portugal,58.0,,1965.0,,,40.9869,-7.5358,1993.103448275862,95.3,55.0,115600.0,{},"{'GEM': {'G100001027399'}, 'JRC': {'JRC-H756'}, 'GHR': {'GHR-GHR05205'}, 'GPD': {'WRI1022563'}, 'GEO': {'GEO-43574'}}"
Valeira,Hydro,Run-Of-River,PP,Portugal,240.0,,1970.0,,,41.1603,-7.375,,97.0,48.0,,{},"{'GEM': {'G100000603243'}, 'JRC': {'JRC-H185'}, 'ENTSOE': {'16WVALEIRA-----B'}, 'GHR': {'GHR-GHR05199'}, 'GEO': {'GEO-43540'}}"
Bemposta,Hydro,Run-Of-River,Store,Portugal,443.0,,1964.0,2010.0,,41.3009,-6.46975,5.336426914153132,20.0,87.0,2300.0,{},"{'GEM': {'G100000603227', 'G100000603228'}, 'JRC': {'JRC-H79'}, 'ENTSOE': {'16WBEMPOII-----R', '16WBEMPOS------6'}, 'GHR': {'GHR-GHR05125'}, 'GEO': {'GEO-43539'}}"
Cabril,Hydro,Reservoir,Store,Portugal,108.0,,1954.0,,,39.9178,-8.1328,3141.6666666666665,615.0,132.0,339300.0,{},"{'GEM': {'G100000603229'}, 'JRC': {'JRC-H475'}, 'ENTSOE': {'16WCABRIL------U'}, 'GHR': {'GHR-GHR05130'}, 'GEO': {'GEO-43549'}}"
Carrapatelo,Hydro,Run-Of-River,PP,Portugal,201.0,,1970.0,,,41.0856,-8.1308,,148.4,57.0,,{},"{'GEM': {'G100000603230'}, 'JRC': {'JRC-H240'}, 'ENTSOE': {'16WCARRAPA-----2'}, 'GHR': {'GHR-GHR05135'}, 'GEO': {'GEO-43542'}}"
Castelo De Bode,Hydro,Reservoir,Store,Portugal,159.0,,1951.0,,,39.5428,-8.3186,1003.1446540880504,902.5,115.0,159500.0,{},"{'GEM': {'G100000603231'}, 'JRC': {'JRC-H310'}, 'ENTSOE': {'16WCBODE-------5'}, 'GHR': {'GHR-GHR05137'}, 'GEO': {'GEO-43550'}}"
Crestuma Lever,Hydro,Run-Of-River,PP,Portugal,117.0,,1970.0,,,41.0728,-8.4867,,110.0,60.0,,{},"{'GEM': {'G100000603232'}, 'JRC': {'JRC-H437'}, 'ENTSOE': {'16WCRESTUM-----6'}, 'GHR': {'GHR-GHR05142'}, 'GEO': {'GEO-43543'}}"
Fratel,Hydro,Run-Of-River,PP,Portugal,132.0,,1970.0,,,39.5433,-7.8025,,92.5,43.0,,{},"{'GEM': {'G100000603235'}, 'JRC': {'JRC-H386'}, 'ENTSOE': {'16W-FRATEL-----A'}, 'GHR': {'GHR-GHR05152'}, 'GEO': {'GEO-43572'}}"
Miranda,Hydro,Run-Of-River,PP,Portugal,369.0,,1960.0,1994.0,,41.48935,-6.2639,,28.0,60.0,,{},"{'GEM': {'G100000603238', 'G100000603237'}, 'JRC': {'JRC-H104'}, 'ENTSOE': {'16WMIRANII-----E', '16W-MIRANDA----I'}, 'GHR': {'GHR-GHR05161'}, 'GEO': {'GEO-43537'}}"
Picote,Hydro,Run-Of-River,Store,Portugal,440.0,,1958.0,2010.0,,41.3783,-6.3516,,13.43,74.0,,{},"{'GEM': {'G100000604136', 'G100000604135'}, 'JRC': {'JRC-H76'}, 'ENTSOE': {'16WPICOTII-----K', '16WPICOTE------0'}, 'GHR': {'GHR-GHR05172'}, 'GEO': {'GEO-43538'}}"
Pocinho,Hydro,Run-Of-River,PP,Portugal,186.0,,1970.0,,,41.135,-7.1142,,83.1,49.0,,{},"{'GEM': {'G100000603239'}, 'JRC': {'JRC-H263'}, 'ENTSOE': {'16WPOCINHO-----S'}, 'GHR': {'GHR-GHR05174'}, 'GEO': {'GEO-43536'}}"
Regua,Hydro,Run-Of-River,PP,Portugal,180.0,,1970.0,,,41.1461,-7.7397,,95.0,41.0,,{},"{'GEM': {'G100000603240'}, 'JRC': {'JRC-H271'}, 'ENTSOE': {'16WREGUA-------O'}, 'GHR': {'GHR-GHR05180'}, 'GEO': {'GEO-43541'}}"
Baixo Sabor Montante,Hydro,Pumped Storage,Store,Portugal,153.0,,1970.0,,,41.2279,-7.0146,17.98941798941799,630.0,123.0,3400.0,{},"{'GEM': {'G100000603225'}, 'JRC': {'JRC-H286'}, 'EESI': {'EESI-64357'}, 'ENTSOE': {'16WBASBM-------8'}, 'GHR': {'GHR-GHR05122'}}"
Foz Tua,Hydro,Pumped Storage,Store,Portugal,268.0,,1970.0,,,41.2188,-7.4229,,106.0,107.0,2630.0,{},"{'GEM': {'G100000603234'}, 'JRC': {'JRC-H3329'}, 'EESI': {'EESI-63182'}, 'ENTSOE': {'16WFOZT--------Y'}, 'GHR': {'GHR-GHR05150'}}"
Touvedo,Hydro,Reservoir,Store,Portugal,22.0,,1970.0,,,41.8124,-8.354,9.090909090909092,4.5,42.0,200.0,{},"{'JRC': {'JRC-H1332'}, 'GHR': {'GHR-GHR05197'}, 'GPD': {'WRI1022573'}, 'GEO': {'GEO-43571'}}"
Raiva,Hydro,Reservoir,Store,Portugal,24.0,,1970.0,,,40.3095,-8.2488,,12.0,34.0,,{},"{'JRC': {'JRC-H1299'}, 'GHR': {'GHR-GHR05178'}, 'GPD': {'WRI1022571'}, 'GEO': {'GEO-43578'}}"
Pracana,Hydro,Reservoir,Store,Portugal,41.0,,1950.0,,,39.5649,-7.8123,239.02439024390245,95.6,60.0,9800.0,{},"{'JRC': {'JRC-H955'}, 'GHR': {'GHR-GHR05177'}, 'GPD': {'WRI1022567'}, 'GEO': {'GEO-43576'}}"
Caldeirao,Hydro,Reservoir,Store,Portugal,40.0,,1970.0,,,40.5316,-7.3297,37.5,3.5,39.0,1500.0,{},"{'JRC': {'JRC-H968'}, 'GHR': {'GHR-GHR05131'}, 'GPD': {'WRI1022568'}, 'GEO': {'GEO-43577'}}"
Bouca,Hydro,Reservoir,Store,Portugal,44.0,,1955.0,,,39.854,-8.2197,,7.9,63.0,,{},"{'JRC': {'JRC-H916'}, 'GHR': {'GHR-GHR05127'}, 'GPD': {'WRI1022565'}, 'GEO': {'GEO-43575'}}"
Ribeiradio,Hydro,Reservoir,Store,Portugal,74.0,,1970.0,,,40.7422,-8.3194,,88.3,74.0,,{},"{'GEM': {'G100001027398'}, 'JRC': {'JRC-H3330'}, 'GHR': {'GHR-GHR05182', 'GHR-GHR05146'}, 'GPD': {'WRI1022575', 'WRI1022704'}}"
Belver,Hydro,Reservoir,PP,Portugal,81.0,,1951.0,,,39.4812,-7.9983,,19.0,30.0,,{},"{'GEM': {'G100000603226'}, 'JRC': {'JRC-H611'}, 'GHR': {'GHR-GHR05124'}, 'GPD': {'WRI1022574'}}"
Frades,Hydro,Pumped Storage,Store,Portugal,976.0,,1970.0,,,41.6929435,-8.027884,24.098360655737704,92.1,420.0,23520.0,{},"{'JRC': {'JRC-H32', 'JRC-H250'}, 'EESI': {'EESI-63697'}, 'ENTSOE': {'16WFRADE2------F', '16WFRADES------T'}, 'GHR': {'GHR-GHR05151'}}"
Sines,Hard Coal,Steam Turbine,PP,Portugal,1296.0,,1985.0,2005.0,2021.0,37.932427,-8.803858,,,,,{},"{'GEM': {'G100000109412', 'G100000109410', 'G100000109411', 'G100000109409'}, 'BEYONDCOAL': {'BEYOND-PT-4-2', 'BEYOND-PT-4-3', 'BEYOND-PT-4-4', 'BEYOND-PT-4-1'}, 'GPD': {'WRI1023227'}, 'GEO': {'GEO-43551'}}"
Pego,Hard Coal,Steam Turbine,PP,Portugal,682.0,,1992.0,2007.0,2021.0,39.468174,-8.109231,,,,,{},"{'GEM': {'G100000107913', 'G100000107914'}, 'BEYONDCOAL': {'BEYOND-PT-3-2', 'BEYOND-PT-3-1'}, 'GPD': {'WRI1023234'}, 'GEO': {'GEO-43560'}}"
Daivoes,Hydro,Reservoir,Store,Portugal,118.0,,2022.0,,,41.5239,-7.8651,,56.2,77.5,,{},"{'GEM': {'G100000604331'}, 'JRC': {'JRC-H3679'}, 'ENTSOE': {'16WDVOES-------N'}}"
Gouvaes,Hydro,Pumped Storage,Store,Portugal,880.0,,2022.0,,,41.4938,-7.727,,13.7,30.0,,{},"{'GEM': {'G100000603236'}, 'JRC': {'JRC-H3678'}, 'ENTSOE': {'16WGVAES-------R'}}"
Alto Tamega,Hydro,Reservoir,Store,Portugal,160.0,,2024.0,,,41.5739,-7.7311,,132.0,106.5,,{},"{'GEM': {'G100000603224'}, 'JRC': {'JRC-H3677'}, 'EESI': {'EESI-64432'}}"
Lares,Natural Gas,CCGT,PP,Portugal,826.0,,2009.0,,,40.1245,-8.775,,,,,{},"{'GEM': {'G100000400588', 'G100000400587'}, 'ENTSOE': {'16WLARES-------R'}, 'GEO': {'GEO-43562'}}"
Tapada Do Outeiro,Natural Gas,CCGT,PP,Portugal,990.0,,1998.0,,,41.07,-8.4587,,,,,{},"{'GEM': {'G100000400594', 'G100000400593', 'G100000400595'}, 'ENTSOE': {'16WRTG---------V'}, 'GEO': {'GEO-43561'}}"
Elecgas Pego,Natural Gas,CCGT,PP,Portugal,836.0,0.58,2011.0,,,39.4689,-8.1113,,,,,{},"{'GEM': {'G100000400584', 'G100000400585'}, 'ENTSOE': {'16WPEGO--------O'}, 'GEO': {'GEO-43564'}}"
Ribatejo,Natural Gas,CCGT,PP,Portugal,1176.0,0.575,2003.0,,,39.0118,-8.9521,,,,,{},"{'GEM': {'G100000400591', 'G100000400590', 'G100000400589'}, 'ENTSOE': {'16WRIBATE------E'}, 'GEO': {'GEO-43559'}}"
Desterro,Hydro,Run-Of-River,PP,Portugal,13.2,,1959.0,,,40.23,-7.41,,3.28,,,{},"{'JRC': {'JRC-H1613'}, 'GHR': {'GHR-GHR05143', 'GHR-GHR05144'}, 'GPD': {'WRI1022580'}}"
Ponte De Jugais,Hydro,Run-Of-River,PP,Portugal,20.3,,1923.0,,,40.23,-7.42,,,,,{},"{'JRC': {'JRC-H1373'}, 'GHR': {'GHR-GHR05175'}, 'GPD': {'WRI1022579'}}"
Sabugueiro,Hydro,Reservoir,Store,Portugal,13.2,,1947.0,,,40.23,-7.39,2315.1515151515155,15.28,28.24,30560.0,{},"{'JRC': {'JRC-H1612'}, 'GHR': {'GHR-GHR05183', 'GHR-GHR05184'}, 'GPD': {'WRI1022581', 'WRI1022787'}}"
Santa Luzia,Hydro,Reservoir,Store,Portugal,25.9,,1943.0,,,40.5,-7.51,1320.4633204633203,50.5,76.0,34200.0,{},"{'JRC': {'JRC-H1234'}, 'GHR': {'GHR-GHR05187'}, 'GPD': {'WRI1022577'}}"
Varosa,Hydro,Reservoir,Store,Portugal,25.0,,1934.0,,,41.07,-7.46,,12.9,76.0,,{},"{'JRC': {'JRC-H1272'}, 'GHR': {'GHR-GHR05201'}, 'GPD': {'WRI1022570'}}"
Vila Cova,Hydro,Run-Of-River,PP,Portugal,23.4,,1970.0,,,40.22,-7.43,,,,,{},"{'JRC': {'JRC-H1309'}, 'GHR': {'GHR-GHR05204'}, 'GPD': {'WRI1022578'}}"
Senhora De Porto,Hydro,Run-Of-River,PP,Portugal,8.8,,1970.0,,,41.34,-8.11,,0.012,25.0,,{},"{'JRC': {'JRC-H1819'}, 'GHR': {'GHR-GHR05189'}}"
Aregos,Hydro,,PP,Portugal,3.1,,1958.0,,,41.0939,-8.0278,,,,,{},"{'GHR': {'GHR-GHR05121'}, 'GPD': {'WRI1022668'}}"
Alvito,Hydro,Reservoir,PP,Portugal,3.4,,1970.0,,,38.2788,-7.9093,,132.5,49.0,,{},"{'GHR': {'GHR-GHR05120'}, 'GPD': {'WRI1022664'}}"
Alvadia,Hydro,,PP,Portugal,10.0,,1970.0,,,41.4564,-7.8103,,0.005,,,{},"{'GHR': {'GHR-GHR05119'}, 'GPD': {'WRI1022663'}}"
Freigil,Hydro,,PP,Portugal,4.6,,1970.0,,,41.075,-8.0233,,0.1399999999999999,17.0,,{},"{'GHR': {'GHR-GHR05153'}, 'GPD': {'WRI1022714'}}"
Feiticeiro Baixo Sabor,Hydro,,PP,Portugal,36.0,,1970.0,,,41.202,-7.0936,,12.0,45.0,,{},"{'GHR': {'GHR-GHR05149'}, 'GPD': {'WRI1022569'}}"
